City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,41.88,89,100,17.94,TF,1699827893
1,malvan,16.0667,73.4667,79.5,72,100,4.72,IN,1699828220
2,isafjordur,66.0755,-23.124,35.56,82,100,3.91,IS,1699827896
3,hithadhoo,-0.6,73.0833,80.89,80,90,5.59,MV,1699827877
4,bilibino,68.0546,166.4372,8.91,95,100,4.65,RU,1699827878
5,phrai bueng,14.7483,104.3626,78.12,93,28,4.12,TH,1699828221
6,hammerfest,70.6634,23.6821,21.65,58,0,3.44,NO,1699827791
7,belonia,23.2528,91.4514,63.91,90,22,3.74,IN,1699828222
8,kayes,14.0,-11.0,85.21,17,100,3.98,ML,1699828222
9,katsuura,35.1333,140.3,48.22,83,62,19.44,JP,1699828222
10,new plymouth,-39.0667,174.0833,58.32,68,22,12.12,NZ,1699827919
11,lihue,21.9789,-159.3672,83.44,72,75,18.41,US,1699827641
12,songea,-10.6833,35.65,65.08,93,55,4.09,TZ,1699828223
13,ghanzi,-21.5667,21.7833,82.08,29,47,7.81,BW,1699828223
14,mathba,22.2855,89.9629,66.02,89,12,5.59,BD,1699828223
15,grytviken,-54.2811,-36.5092,38.34,87,100,4.07,GS,1699827894
16,adamstown,-25.066,-130.1015,73.09,83,100,18.92,PN,1699827893
17,yellowknife,62.456,-114.3525,19.42,98,100,20.71,CA,1699827895
18,edinburgh of the seven seas,-37.0676,-12.3116,57.34,82,7,20.65,SH,1699827896
19,ar rass,25.8694,43.4973,73.17,28,96,9.17,SA,1699827913
20,puerto ayora,-0.7393,-90.3518,82.36,88,49,5.99,EC,1699827659
21,asau,46.4333,26.4,43.72,88,42,5.99,RO,1699828224
22,waitangi,-43.9535,-176.5597,54.5,84,56,18.66,NZ,1699827893
23,luganville,-15.5333,167.1667,78.35,70,100,14.32,VU,1699828224
24,talnakh,69.4865,88.3972,27.21,96,100,10.0,RU,1699827904
25,alo,7.4178,6.7371,78.76,84,26,3.96,NG,1699827736
26,torghay,49.6339,63.4981,38.86,90,15,4.97,KZ,1699828225
27,ushuaia,-54.8,-68.3,51.46,46,40,13.8,AR,1699827868
28,hawaiian paradise park,19.5933,-154.9731,78.31,84,100,9.22,US,1699827896
29,avarua,-21.2078,-159.775,75.25,57,75,9.22,CK,1699827915
30,bredasdorp,-34.5322,20.0403,56.34,84,1,0.87,ZA,1699827876
31,albany,42.6001,-73.9662,35.67,66,6,1.72,US,1699827728
32,georgievka,49.3314,81.5761,33.98,92,91,8.81,KZ,1699828225
33,guerrero negro,27.9769,-114.0611,78.82,24,0,8.79,MX,1699827873
